,neighborhood,reason,0
35,Allston,Enforcement & Abandoned Vehicles,117
52,Allston,Street Cleaning,112
33,Allston,Code Enforcement,103
45,Allston,Park Maintenance & Safety,88
40,Allston,Highway Maintenance,61
64,Allston / Brighton,Enforcement & Abandoned Vehicles,4536
87,Allston / Brighton,Street Cleaning,2778
62,Allston / Brighton,Code Enforcement,2479
84,Allston / Brighton,Sanitation,2035
71,Allston / Brighton,Highway Maintenance,1697
122,Back Bay,Street Cleaning,2826
101,Back Bay,Enforcement & Abandoned Vehicles,2543
108,Back Bay,Highway Maintenance,2217
99,Back Bay,Code Enforcement,2097
123,Back Bay,Street Lights,683
158,Beacon Hill,Street Cleaning,2862
134,Beacon Hill,Code Enforcement,1867
143,Beacon Hill,Highway Maintenance,1030
136,Beacon Hill,Enforcement & Abandoned Vehicles,979
159,Beacon Hill,Street Lights,473
171,Boston,Enforcement & Abandoned Vehicles,2222
192,Boston,Street Cleaning,1346
178,Boston,Highway Maintenance,1179
169,Boston,Code Enforcement,877
184,Boston,Park Maintenance & Safety,814
204,Brighton,Enforcement & Abandoned Vehicles,294
222,Brighton,Street Cleaning,173
202,Brighton,Code Enforcement,159
216,Brighton,Park Maintenance & Safety,149
210,Brighton,Highway Maintenance,143
235,Charlestown,Enforcement & Abandoned Vehicles,2879
256,Charlestown,Street Cleaning,1037
242,Charlestown,Highway Maintenance,1014
233,Charlestown,Code Enforcement,774
257,Charlestown,Street Lights,747
268,Chestnut Hill,Sanitation,14
263,Chestnut Hill,Health,10
265,Chestnut Hill,Operations,3
261,Chestnut Hill,Building,1
262,Chestnut Hill,Code Enforcement,1
280,Dorchester,Enforcement & Abandoned Vehicles,8578
300,Dorchester,Sanitation,6485
303,Dorchester,Street Cleaning,4914
278,Dorchester,Code Enforcement,4113
288,Dorchester,Highway Maintenance,2495
318,Downtown / Financial District,Enforcement & Abandoned Vehicles,4128
340,Downtown / Financial District,Street Cleaning,3632
316,Downtown / Financial District,Code Enforcement,2081
326,Downtown / Financial District,Highway Maintenance,2037
339,Downtown / Financial District,Signs & Signals,891
356,East Boston,Enforcement & Abandoned Vehicles,7710
377,East Boston,Street Cleaning,2005
363,East Boston,Highway Maintenance,1989
354,East Boston,Code Enforcement,1872
374,East Boston,Sanitation,908
391,Fenway / Kenmore / Audubon Circle / Longwood,Enforcement & Abandoned Vehicles,1150
399,Fenway / Kenmore / Audubon Circle / Longwood,Highway Maintenance,1035
410,Fenway / Kenmore / Audubon Circle / Longwood,Street Cleaning,617
409,Fenway / Kenmore / Audubon Circle / Longwood,Signs & Signals,391
389,Fenway / Kenmore / Audubon Circle / Longwood,Code Enforcement,359
441,Greater Mattapan,Sanitation,2296
444,Greater Mattapan,Street Cleaning,1315
424,Greater Mattapan,Enforcement & Abandoned Vehicles,1215
422,Greater Mattapan,Code Enforcement,1165
430,Greater Mattapan,Highway Maintenance,845
477,Hyde Park,Sanitation,2483
480,Hyde Park,Street Cleaning,1291
458,Hyde Park,Enforcement & Abandoned Vehicles,1225
476,Hyde Park,Recycling,995
465,Hyde Park,Highway Maintenance,970
495,Jamaica Plain,Enforcement & Abandoned Vehicles,3187
514,Jamaica Plain,Sanitation,2168
517,Jamaica Plain,Street Cleaning,1768
502,Jamaica Plain,Highway Maintenance,1671
493,Jamaica Plain,Code Enforcement,1444
539,Mattapan,Sanitation,101
541,Mattapan,Street Cleaning,69
526,Mattapan,Code Enforcement,56
533,Mattapan,Housing,45
538,Mattapan,Recycling,45
574,Mission Hill,Street Cleaning,954
553,Mission Hill,Enforcement & Abandoned Vehicles,913
551,Mission Hill,Code Enforcement,757
559,Mission Hill,Highway Maintenance,585
571,Mission Hill,Sanitation,398
605,Roslindale,Sanitation,1941
588,Roslindale,Enforcement & Abandoned Vehicles,1739
608,Roslindale,Street Cleaning,1269
595,Roslindale,Highway Maintenance,1067
586,Roslindale,Code Enforcement,750
623,Roxbury,Enforcement & Abandoned Vehicles,4010
646,Roxbury,Street Cleaning,3454
643,Roxbury,Sanitation,3131
621,Roxbury,Code Enforcement,2631
631,Roxbury,Highway Maintenance,1799
659,South Boston,Enforcement & Abandoned Vehicles,832
678,South Boston,Street Cleaning,323
657,South Boston,Code Enforcement,204
666,South Boston,Highway Maintenance,141
668,South Boston,Needle Program,126
692,South Boston / South Boston Waterfront,Enforcement & Abandoned Vehicles,9868
712,South Boston / South Boston Waterfront,Street Cleaning,2997
690,South Boston / South Boston Waterfront,Code Enforcement,2379
699,South Boston / South Boston Waterfront,Highway Maintenance,1321
709,South Boston / South Boston Waterfront,Sanitation,1301
746,South End,Street Cleaning,4029
726,South End,Enforcement & Abandoned Vehicles,3634
724,South End,Code Enforcement,3187
733,South End,Highway Maintenance,2083
735,South End,Needle Program,1345
776,West Roxbury,Sanitation,2452
765,West Roxbury,Highway Maintenance,1161
782,West Roxbury,Trees,815
759,West Roxbury,Enforcement & Abandoned Vehicles,775
757,West Roxbury,Code Enforcement,759
